鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市校舍二路27巷1~30號,24.72,住,,,1071026,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871119,161.53,4,2,2,有,有,4700000,29097,坡道平面,0.0,0,所有權人共二人、機車位一個、二等親買賣,RPWPMLLLJINFFBG78EA
宜蘭市,土地,巽門一段841~870地號,55.01,商,,,1070827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,127250,,0.0,0,親友、員工或其他特殊關係間之交易。;含未保存登記建物一棟持分:1/2,RPPNMLQLJINFFBG38EA
壯圍鄉,土地,新南段421~450地號,666.0,,特定農業區,農牧用地,1071028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,3754,,0.0,0,,RPSOMLKMJINFFBG18DA
壯圍鄉,土地,新社段361~390地號,1756.0,,,,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1708,,0.0,0,,RPRNMLKKKINFFBG77CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市國榮路151~180號,36.49,住,,,1071113,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930927,180.18,3,2,2,有,無,7200000,39960,坡道平面,0.0,0,,RPWOMLNJKINFFBG58CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市樹人路61~90號,35.54,住,,,1071024,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,200.25,3,2,2,有,有,11350000,69591,坡道平面,52.96,1100000,,RPURMLNJKINFFBG68CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市樹人路61~90號,35.54,住,,,1070930,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,200.25,3,2,2,有,有,11000000,67214,坡道平面,52.96,1100000,,RPWRMLNJKINFFBG88CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉同新路404巷2弄1~30號,73.08,,一般農業區,甲種建築用地,1071107,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0730820,84.4,4,2,3,有,無,3800000,45024,,0.0,0,含增建或未登記建物。;,RPQNMLRLJINFFBG38CA
宜蘭市,土地,延平段511~540地號,80.61,農,,,1071114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2559900,31757,,0.0,0,,RPROMLQLJINFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政五街121~150號,129.85,住,,,1071019,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031229,270.2,4,2,5,有,無,13800000,51073,,0.0,0,,RPVOMLQLJINFFBG88CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市縣政五街91~120號,129.84,住,,,1070925,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1031229,250.15,4,2,5,有,無,13500000,53968,,0.0,0,,RPTNMLRLJINFFBG68CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康一街61~90號,12.27,其他,,,1070918,土地1建物1車位0,七層,十二層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1070402,73.41,0,0,0,無,無,8860000,120692,,0.0,0,建商與地主合建案。;土地及建物分次登記案件。本案為預售屋買賣。,RPSNMLSLJINFFBG68CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市民權新路260巷1~30號,22.13,住,,,1071019,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840310,123.00999999999999,3,2,2,有,有,2000000,16259,,0.0,0,買方承諾，無條件、無償提供賣方繼續居住使用本房屋，至賣方壽終正寢為止。,RPPQMLMLJINFFBG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉香南路331~360號,165.24,住,,,1071024,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,0920127,323.19,4,1,2,有,無,13000000,40224,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPTNMLRLJINFFAG58CA
蘇澳鎮,土地,龍德段271~300地號,149.0,,工業區,丁種建築用地,1070822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2130000,14295,,0.0,0,,RPXNMLRLJINFFAG98CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮義和巷1~30號,19.3,商,,,1071101,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810910,71.32000000000001,2,2,1,有,無,3120000,43746,,0.0,0,,RPVNMLQLJINFFAG68CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮龍祥二路5巷1~30號,74.0,,工業區,丁種建築用地,1071102,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701006,86.77,4,2,2,有,無,2700000,31117,,0.0,0,含增建或未登記建物。;,RPSOMLQLJINFFAG48CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮萬福路35巷1~30號,43.34,,鄉村區,乙種建築用地,1071107,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680813,75.61,4,2,5,有,無,3650000,48274,,0.0,0,,RPSNMLQLJINFFAG38CA
大同鄉,土地,崙埤段61~90地號,8700.0,,山坡地保育區,林業用地,1071108,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,172,,0.0,0,親友間買賣,RPSOMLMLJINFFAG08CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮思村路61~90號,83.13,住,,,1070917,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070830,156.69,4,2,3,有,無,6800000,43398,,0.0,0,,RPQNMLNLJINFFAG87CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮月眉路161巷3弄1~30號,30.31,,特定農業區,甲種建築用地,1071025,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050509,48.38,4,2,3,有,無,2350000,48574,,0.0,0,親友、員工或其他特殊關係間之交易。;二親等買賣,RPRNMLRLJINFFAG38CA
五結鄉,土地,利工段1~30地號,2000.18,,工業區,丁種建築用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,12499,,0.0,0,,RPVOMLSLJINFFAG98CA
