鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路二段91~120號,12.44,住,,,1071101,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970602,109.4,3,2,2,有,有,6900000,63071,,0.0,0,,RPOPMLOJKINFFAG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市成功路40巷1~30號,95.12,住,,,1071102,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1000114,199.94,4,2,5,有,無,9500000,47514,,0.0,0,,RPROMLSLJINFFBG68CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市陽明三路31~60號,26.72,住,,,1071017,土地5建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850215,156.13,3,2,2,有,有,8500000,54442,坡道平面,0.0,0,,RPOOMLKMJINFFBG67CA
壯圍鄉,土地,新福段211~240地號,2111.0,,特定農業區,農牧用地,1071109,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,26800000,12695,,0.0,0,,RPOOMLSLJINFFBG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮南盟路69巷1~30號,27.29,住,,,1071025,土地6建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830413,107.25,3,2,2,有,有,4300000,40093,,0.0,0,,RPWNMLLKKINFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永鎮路121~150號,851.8,,特定農業區,農牧用地,1070905,土地4建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070302,369.07,4,3,5,有,無,33800000,91582,,0.0,0,,RPWNMLLLKINFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮林森路61~90號,139.6,商,,,1071002,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土加強磚造,0601202,208.28,5,3,2,有,無,13900000,66737,,0.0,0,,RPUNMLOLKINFFAG48CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉員山路一段703巷1~30號,35.28,,特定農業區,甲種建築用地,1071025,土地1建物1車位0,五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840330,94.22,5,2,2,有,無,2650000,28126,,0.0,0,,RPRQMLNJKINFFBG28CA
員山鄉,土地,慶安段181~210地號,233.08,,鄉村區,乙種建築用地,1071022,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3525335,15125,,0.0,0,此地段即將實施農村社區重劃，地上有建物三棟，其中一棟為承買人之親屬所有。,RPORMLNJKINFFBG08CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉和平路91~120號,7.42,住,,,1071105,土地1建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960622,45.5,1,1,1,有,有,3300000,72527,,0.0,0,,RPROMLKMJINFFBG97CA
頭城鎮,土地,烏石港段91~120地號,499.19,住,,,1071114,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,29950000,59997,,0.0,0,,RPOPMLKMJINFFBG77CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市長春路61~90號,82.55,住,,,1071102,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,0640609,122.1,1,3,2,有,無,9000000,73710,,0.0,0,增建:一樓空地及頂樓,RPSPMLKMJINFFBG18CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市長春路61~90號,82.55,住,,,1071102,土地1建物2車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0651109,119.02,3,2,1,有,無,9000000,75618,,0.0,0,增建:一樓空地及頂樓,SPSPMLKMJINFFBG28CA
頭城鎮,土地,港口段571~600地號,107.18,住,,,1071112,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,18660,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLLJKINFFBG67CA
壯圍鄉,土地,吉祥一段391~420地號,1149.62,農,,,1071105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4598480,4000,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLPJKINFFBG18CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉順和路1~30號,120.0,,特定農業區,甲種建築用地,1071023,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830523,187.26,5,2,3,有,無,5800000,30973,,0.0,0,,RPQNMLRJKINFFBG28CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市建蘭北路27巷1~30號,60.64,住,,,1071102,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1000413,193.57999999999998,3,2,2,有,有,6000592,30998,坡道平面,0.0,0,國防部眷村改建餘戶價售現役士官兵,RPQNMLRKKINFFBG38CA
羅東鎮,土地,維揚段121~150地號,518.0,其他,,,1071113,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2180000,4208,,0.0,0,(包含)公共設施保留地之交易。;畸零地或有合併使用之交易。;,RPQNMLMLKINFFAG87CA
五結鄉,土地,和平段661~690地號,86.89,工,,,1071120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3400000,39130,,0.0,0,本買賣土地未鄰接道路。本買賣不包含未保存地上建物。,RPWNMLMKKINFFAG38CA
員山鄉,房地(土地+建物),宜蘭縣員山鄉尚深路91~120號,117.46,,特定農業區,甲種建築用地,1071029,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1040507,173.31,4,2,3,有,無,8200000,47314,,0.0,0,,RPQNMLSLJINFFBG48CA
礁溪鄉,土地,玉光一段511~540地號,2517.0,,特定農業區,農牧用地,1071101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11420000,4537,,0.0,0,,RPQNMLTLJINFFBG58CA
礁溪鄉,土地,民生段391~420地號,170.0,,特定農業區,農牧用地,1071122,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1974427,11614,,0.0,0,,RPSNMLTLJINFFBG78CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉忠孝路27巷8弄1~30號,12.36,住,,,1071108,土地1建物1車位0,一層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0820519,65.25,1,1,1,有,有,2800000,42912,,0.0,0,,RPTNMLTLJINFFBG88CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉照安路33巷31~60號,83.38,住,,,1071101,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0850201,182.78,4,2,3,有,無,5800000,31732,,0.0,0,另有增建，約15坪。,RPUNMLKMJINFFAG08CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮復興路一段31~60號,149.0,住,,,1071027,土地1建物2車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0491124,246.44,0,0,0,無,無,14500000,58838,,0.0,0,,RPQNMLKMJINFFAG67CA
蘇澳鎮,土地,龍德段301~330地號,475.0,,工業區,丁種建築用地,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7250000,15263,,0.0,0,,RPRNMLKMJINFFAG77CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉大埔中路309巷1~30號,69.83,,鄉村區,乙種建築用地,1071101,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030305,114.7,4,2,3,有,無,7000000,61029,,0.0,0,,RPROMLOJKINFFAG08CA
五結鄉,土地,鎮安段391~420地號,1155.44,農,,,1071009,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3780000,3271,,0.0,0,(包含)公共設施保留地之交易。;,RPRNMLOJKINFFAG97CA
三星鄉,土地,張公圍段181~210地號,967.88,,特定農業區,農牧用地,1071026,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2635000,2722,,0.0,0,,RPXNMLQJKINFFAG78CA
三星鄉,土地,腳段121~150地號,1736.0,,特定農業區,農牧用地,1071101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3675000,2117,,0.0,0,,RPRNMLTLJINFFAG58CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮城東路229巷1~30號,139.44,住,,,1071020,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070809,167.01,4,2,4,有,無,7280000,43590,,0.0,0,,RPSNMLTLJINFFAG68CA
蘇澳鎮,土地,蘇港段601~630地號,86.3,商,,,1071016,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3002161,34787,,0.0,0,,RPTNMLTLJINFFAG78CA
礁溪鄉,土地,三皇段481~510地號,40.27,其他,,,1071118,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,120000,2980,,0.0,0,(包含)公共設施保留地之交易。;,RPVNMLSLJINFFBG56EA
羅東鎮,土地,興東段901~930地號,12.91,商,,,1071114,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1102687,85413,,0.0,0,原合建分屋土地持分比例分配不足之移轉,RPQOMLSLJINFFAG68EA
五結鄉,土地,利成段421~450地號,103.46,,一般農業區,農牧用地,1071110,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375600,3630,,0.0,0,,RPPNMLTLJINFFAG58EA
頭城鎮,土地,新竹安段1~30地號,451.71,,一般農業區,農牧用地,1071001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,3763,,0.0,0,,RPOOMLNJKINFFBG87DA
員山鄉,土地,外員段601~630地號,152.06,住,,,1060607,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6246000,41076,,0.0,0,,RPSNMLPLKINFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市復興路一段121巷1~30號,65.0,住,,,1071009,土地3建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,72.2,3,1,2,有,無,4000000,55402,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPVOMLPLKINFFBG88CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路231巷14弄1~30號,9.25,住,,,1071113,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831212,51.61,2,1,1,有,無,785525,15220,,0.0,0,公司轉讓給股東,RPPNMLKMJINFFBG87EA
宜蘭市,土地,慈安段691~720地號,15.02,住,,,1071123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,817920,54455,,0.0,0,,RPRNMLKMJINFFBG08EA
五結鄉,房地(土地+建物),宜蘭縣五結鄉成功路2巷3弄31~60號,71.75,,工業區,丁種建築用地,1071022,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070910,156.39,4,2,3,有,無,7350000,46998,,0.0,0,,RPVNMLTLJINFFAG98CA
大同鄉,土地,寒溪段901~930地號,105.0,,鄉村區,乙種建築用地,1071107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,11429,,0.0,0,"1.本交易標的上有未辦登記之二層建物壹棟，亦計入買賣總價款。2.義務人應納土地增值稅13,281元由權利人負擔。",RPVOMLNJKINFFAG38CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉中福南路1~30號,111.07,,特定農業區,甲種建築用地,1071101,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070817,201.35,4,2,5,有,無,12520000,62180,,0.0,0,,RPPOMLRKKINFFAG28CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉中福南路1~30號,119.0,,特定農業區,甲種建築用地,1071029,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070817,204.44,4,2,5,有,無,12000000,58697,,0.0,0,,RPQOMLRKKINFFAG38CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉中福南路1~30號,111.12,,特定農業區,甲種建築用地,1060113,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070817,201.94,4,2,5,有,無,12800000,63385,,0.0,0,,RPROMLRKKINFFAG48CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山路一段271~300號,140.2,,特定農業區,甲種建築用地,1071017,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0641126,143.92,0,0,2,有,無,9300000,64619,,0.0,0,,RPVNMLPJKINFFAG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市?安路8巷1~30號,97.0,,特定農業區,甲種建築用地,1071111,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070619,197.87,3,2,4,有,無,10580000,53469,,0.0,0,,RPQNMLKMJINFFBG77CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市擺厘路9巷1弄1~30號,85.0,住,,,1071025,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1040616,187.43,6,1,6,有,無,13800000,73627,,0.0,0,,RPQOMLKMJINFFBG87CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮福德西巷66巷1~30號,108.57,,特定農業區,甲種建築用地,1071024,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070327,177.21,4,2,4,有,無,6300000,35551,,0.0,0,,RPVNMLLLKINFFAG28CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市民權新路181~210號,26.23,住,,,1071017,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821227,153.42000000000002,3,2,2,有,無,6260000,40803,升降機械,0.0,0,,RPQOMLRJKINFFBG38CA
礁溪鄉,土地,五峰段1411~1440地號,2.66,其他,,,1040125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,161000,60526,,0.0,0,,RPRNMLMKKINFFBG97CA
壯圍鄉,土地,吉祥二段571~600地號,262.37,住,,,1070921,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,11904900,45374,,0.0,0,,RPPOMLNJKINFFBG87CA
壯圍鄉,土地,吉祥二段601~630地號,601.94,住,,,1070919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27312900,45375,,0.0,0,,RPQOMLNJKINFFBG97CA
頭城鎮,房地(土地+建物),宜蘭縣頭城鎮三和路253巷61~90號,121.03,,特定農業區,甲種建築用地,1071014,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0691118,126.94,3,2,2,有,無,1642081,12936,,0.0,0,親屬間買賣含一樓增建鐵皮屋,RPROMLNJKINFFBG08CA
壯圍鄉,土地,吉祥二段601~630地號,505.16,住,,,1071011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22921500,45375,,0.0,0,,RPSOMLNJKINFFBG18CA
壯圍鄉,土地,吉祥二段601~630地號,97.06,其他,,,1071011,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2519734,25961,,0.0,0,,SPSOMLNJKINFFBG28CA
礁溪鄉,土地,龍泉段871~900地號,44.69,商,,,1071120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1080800,24184,,0.0,0,,RPTOMLNJKINFFBG28CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康一街61~90號,12.24,其他,,,1071109,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070402,73.22999999999999,0,0,0,無,有,9200000,125632,,0.0,0,建商與地主合建案。;土地及建物分次登記案件。本案為預售屋買賣。,RPQPMLKMJINFFBG97CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉健康一街61~90號,12.24,其他,,,1071109,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070402,73.22999999999999,0,0,0,無,有,9000000,122900,,0.0,0,建商與地主合建案。;土地及建物分次登記案件。本案為預售屋買賣。,SPQPMLKMJINFFBG08CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市擺厘路9巷1弄1~30號,30.75,住,,,1071117,土地5建物1車位0,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031218,75.47,2,0,2,有,無,4450000,58964,,0.0,0,,RPRPMLKMJINFFBG08CA
宜蘭市,房地(土地+建物)+車位,宜蘭縣宜蘭市樹人路61~90號,35.54,住,,,1071027,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060603,200.25,3,2,2,有,有,12000000,74004,坡道平面,52.96,1100000,,RPQSMLNJKINFFBG38CA
壯圍鄉,土地,美城段271~300地號,1158.0,,特定農業區,農牧用地,1071105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3240000,2798,,0.0,0,,RPQNMLNKKINFFBG97CA
礁溪鄉,土地,五峰段1171~1200地號,180.43,其他,,,1071120,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14141598,78377,,0.0,0,(包含)公共設施保留地之交易。;,RPVNMLNKKINFFBG48CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉縣民大道一段61~90號,259.56,,特定農業區,農牧用地,1071016,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1050607,182.57,3,2,4,有,無,10900000,59703,,0.0,0,,RPPPMLPJKINFFBG18CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市福德路53巷1~30號,129.88,,特定農業區,甲種建築用地,1071013,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070713,174.02,4,2,3,有,無,9100000,52293,,0.0,0,,RPPNMLPJKINFFBG97CA
宜蘭市,土地,金六結段七結小段31~60地號,96.5,住,,,1071106,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7300000,75648,,0.0,0,,RPTQMLNKKINFFBG58CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉德陽路211~240號,16.01,住,,,1071108,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840601,84.27000000000001,2,1,1,有,有,4450000,52806,,0.0,0,,RPOOMLRKKINFFBG28CA
五結鄉,土地,大吉三段1021~1050地號,208.48,,特定農業區,農牧用地,1071123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1010168,4845,,0.0,0,承購自國有財產局,RPOOMLPLKINFFAG08CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉三路218巷1~30號,87.26,,鄉村區,乙種建築用地,1071013,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690516,86.98,2,2,2,有,無,3500000,40239,,0.0,0,,RPRNMLQJKINFFAG18CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮忠孝路28巷31~60號,56.67,住,,,1071031,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620427,60.49,4,2,2,有,無,2702842,44682,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLPJKINFFAG38CA
冬山鄉,土地,武淵二段451~480地號,2351.1,,特定農業區,農牧用地,1071106,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4620000,1965,,0.0,0,,RPSNMLOJKINFFAG08CA
羅東鎮,土地,新西安段181~210地號,158.92,,鄉村區,乙種建築用地,1070523,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4400000,27687,,0.0,0,親友、員工或其他特殊關係間之交易。;權利人共4人,RPUNMLRJKINFFAG58CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉南興路78巷1~30號,204.76,商,,,1071028,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040721,254.95,5,2,4,有,無,11800000,46284,,0.0,0,,RPPOMLRJKINFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉光明路50巷1弄1~30號,92.08,住,,,1071018,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0640625,89.24,3,2,2,有,無,6080000,68131,,0.0,0,,RPQNMLSJKINFFAG28CA
羅東鎮,土地,北成一段601~630地號,20.39,,鄉村區,乙種建築用地,1071017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,920000,45120,,0.0,0,,RPPNMLTJKINFFAG28CA
羅東鎮,土地,北成一段601~630地號,3.78,,鄉村區,乙種建築用地,1071116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,170000,44974,,0.0,0,含增建或未登記建物。;,RPQNMLTJKINFFAG38CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮永愛路20巷1~30號,40.93,住,,,1071002,土地4建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1060817,96.31,3,2,2,有,無,3600000,37379,,0.0,0,,RPTNMLKKKINFFAG87CA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉臺興路91~120號,26.25,住,,,1071101,土地1建物1車位1,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860123,136.62,3,2,2,有,有,4500000,32938,升降機械,0.0,0,,RPWOMLNJKINFFAG48CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷1~30號,34.89,,鄉村區,乙種建築用地,1071026,土地2建物1車位0,二層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,52.24,2,1,1,有,無,3000000,57427,,0.0,0,,RPOPMLNJKINFFAG77CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷31~60號,38.49,,鄉村區,乙種建築用地,1070921,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,54.9,2,1,1,有,無,3500000,63752,,0.0,0,,RPQPMLNJKINFFAG97CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷1~30號,34.89,,鄉村區,乙種建築用地,1071001,土地2建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,55.160000000000004,2,1,1,有,無,2900000,52574,,0.0,0,,RPRPMLNJKINFFAG08CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉鹿埔路726巷1~30號,34.89,,鄉村區,乙種建築用地,1070926,土地2建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1070914,49.510000000000005,2,1,1,有,無,3700000,74732,,0.0,0,,RPUPMLNJKINFFAG38CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉壯五路241~270號,111.89,商,,,1071001,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0781109,149.53,0,0,0,無,無,3738061,24999,,0.0,0,二等親買賣、土地及建物分次登記案件、增建三樓,RPVNMLKMJINFFBG48EA
五結鄉,土地,五結段1021~1050地號,16.0,住,,,1071023,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1119360,69960,,0.0,0,向政府機關承購之案件。;,RPSOMLNJKINFFAG28EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮興東路1~30號,2.64,商,,,1071119,土地2建物1車位0,八層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0701016,27.720000000000002,1,0,1,有,有,1200000,43290,,0.0,0,,RPXOMLNJKINFFAG78EA
羅東鎮,建物,宜蘭縣羅東鎮浮崙巷1~30號,0.0,,,,1071119,土地0建物1車位0,全,一層,透天厝,住家用,木造,0190620,60.0,2,1,1,有,無,500000,8333,,0.0,0,本件買賣為二等親間買賣(父子),RPQNMLOJKINFFAG08EA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮純精路三段252巷31~60號,98.11,住,,,1071109,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1020207,222.04,4,2,4,有,無,16980000,76473,,0.0,0,,RPSOMLSLKINFFAG98EA
宜蘭市,土地,公園段91~120地號,205.79,住,,,1070917,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19920000,96798,,0.0,0,,RPQNMLNJKINFFBG08EA
